,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
7,0,4889,1.3534923553466798,0.022187381551943143,0.011316251754760743,0.0009945798919007765,0.01,6.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.8546571136131014,0.8382804503582395,0.8352098259979529,0.8474923234390993,0.8648925281473899,0.8481064483111567,0.010843744227757645,16,0.920225006392227,0.9112758885195602,0.9079519304525697,0.9140884684223983,0.909741754027103,0.9126566095627716,0.0042864350988894555
33,0,4889,0.2960366249084473,0.004564109600897096,0.0056763172149658205,0.0029146037256720467,0.1,,,10.0,"{'learning_rate': 0.1, 'min_child_weight': 10}",0.8526100307062436,0.8372569089048106,0.8372569089048106,0.8474923234390993,0.8628454452405322,0.8474923234390992,0.009710166817303101,17,0.9051393505497315,0.90053694707236,0.9048836614676553,0.9023267706468934,0.8969572999232933,0.9019688059319867,0.0030279460686448174
43,1,14667,0.2843766212463379,0.0038607944862419277,0.0068206310272216795,0.003925927084367439,0.01,,,5.0,"{'learning_rate': 0.01, 'min_child_weight': 5}",0.8455506307534947,0.8424821002386634,0.8394135697238323,0.8475963177633822,0.8612342311626321,0.8472553699284008,0.007519426526881801,18,0.8550242904627973,0.8500809682093241,0.8535753856643654,0.8555356686269496,0.8586039376118639,0.8545640501150601,0.0027767619799604175
49,1,14667,0.2951087474822998,0.005152353341644846,0.007193803787231445,0.00039332195606893975,0.01,,,3.0,"{'learning_rate': 0.01, 'min_child_weight': 3}",0.8445277872485509,0.841800204568701,0.8397545175588135,0.8479372655983635,0.8602113876576883,0.8468462325264235,0.007224233283681706,19,0.8553652092388988,0.8502514275973749,0.8541719935225432,0.8555356686269496,0.8591153157760164,0.8548879229523566,0.0028470290082486032
0,0,4889,0.29727840423583984,0.0601069761262483,0.0072290897369384766,0.0043229262237181815,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.857727737973388,0.8290685772773797,0.834186284544524,0.8403275332650972,0.872057318321392,0.8466734902763562,0.015954118950582376,20,0.9478394272564562,0.9363334185630273,0.937100485809256,0.9427256456149322,0.9376118639734083,0.9403221682434161,0.004379977111810573
18,0,4889,0.2606081962585449,0.0007924157024159222,0.005615711212158203,0.003887101802421479,0.1,6.0,,,"{'learning_rate': 0.1, 'max_depth': 6}",0.857727737973388,0.8290685772773797,0.834186284544524,0.8403275332650972,0.872057318321392,0.8466734902763562,0.015954118950582376,20,0.9478394272564562,0.9363334185630273,0.937100485809256,0.9427256456149322,0.9376118639734083,0.9403221682434161,0.004379977111810573
46,1,14667,0.3138528347015381,0.018225950089029382,0.007263278961181641,0.0008226786600147104,0.01,6.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.8438458915785885,0.843163995908626,0.837708830548926,0.847255369928401,0.8591885441527446,0.8462325264234571,0.007164773562394102,22,0.8569845734253814,0.852211710559959,0.8540867638285179,0.857325492201483,0.8592005454700418,0.8559618170970766,0.002488940560599208
45,1,14667,0.31386480331420896,0.0063176456448249905,0.008396053314208984,0.0013895375362796426,0.01,6.0,,,"{'learning_rate': 0.01, 'max_depth': 6}",0.8438458915785885,0.843163995908626,0.837708830548926,0.847255369928401,0.8591885441527446,0.8462325264234571,0.007164773562394102,22,0.8569845734253814,0.852211710559959,0.8540867638285179,0.857325492201483,0.8592005454700418,0.8559618170970766,0.002488940560599208
47,1,14667,0.31595630645751954,0.016717644883841604,0.006979656219482422,0.0006087242987059074,0.01,,,2.0,"{'learning_rate': 0.01, 'min_child_weight': 2}",0.843163995908626,0.8414592567337198,0.8397545175588135,0.8469144220934197,0.8595294919877259,0.8461643368564609,0.007091059268383586,24,0.8554504389329243,0.8505923463734765,0.8545129122986449,0.8563027358731782,0.8592005454700418,0.8552117957896531,0.0027923100068255723
42,1,14667,0.47339653968811035,0.023332894698696004,0.008029747009277343,0.0031075032273292238,0.01,8.0,,,"{'learning_rate': 0.01, 'max_depth': 8}",0.8482782134333448,0.8441868394135698,0.837708830548926,0.8455506307534947,0.8523695874531196,0.845618820320491,0.004842899667116189,25,0.870365635387369,0.8663598397681752,0.8702804056933435,0.8731782152902071,0.8714736214096991,0.8703315435097588,0.0022443747502780627
30,0,4889,0.2656729698181152,0.00961199176138857,0.003612041473388672,0.0028760266562447697,0.1,,,2.0,"{'learning_rate': 0.1, 'min_child_weight': 2}",0.8505629477993859,0.8259979529170931,0.8382804503582395,0.8372569089048106,0.8751279426816786,0.8454452405322416,0.01675609574590062,26,0.9388903093837894,0.9342879059064177,0.933265149578113,0.935822040398875,0.9322423932498083,0.9349015597034007,0.0023187489744320475
32,0,4889,0.2872610092163086,0.0033166315251912234,0.006858015060424804,0.00441226398352394,0.1,,,5.0,"{'learning_rate': 0.1, 'min_child_weight': 5}",0.8454452405322416,0.8362333674513818,0.8362333674513818,0.8352098259979529,0.8730808597748209,0.8452405322415558,0.014408322910761736,27,0.9263615443620558,0.9220148299667604,0.9207363845563794,0.9184351828176937,0.914855535668627,0.9204806954743031,0.0038165396383626248
