,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
37,0.2032607078552246,0.006860534702485493,0.00523228645324707,0.003493293231831578,0.01,,,10.0,"{'learning_rate': 0.01, 'min_child_weight': 10}",0.9560439560439561,0.9120879120879121,0.967032967032967,0.9120879120879121,0.9230769230769231,0.9340659340659341,0.02305074391582752,31
39,0.22935223579406738,0.014269503345658456,0.0016044139862060546,0.003208827972412109,0.001,,,3.0,"{'learning_rate': 0.001, 'min_child_weight': 3}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
38,0.26683664321899414,0.03134820036128038,0.0024431228637695314,0.0029769487046065026,0.001,,,2.0,"{'learning_rate': 0.001, 'min_child_weight': 2}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
12,0.24577388763427735,0.014008553922566131,0.0013591289520263673,0.00114370441193391,0.001,6.0,100.0,,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 100}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
14,0.24823193550109862,0.015206881815263765,0.0008061408996582031,0.0009873210892826553,0.001,10.0,100.0,,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 100}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
29,0.2610775470733643,0.016672289135245082,0.000405120849609375,0.00081024169921875,0.001,12.0,,,"{'learning_rate': 0.001, 'max_depth': 12}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
28,0.2610457420349121,0.011769076447254929,0.0024136066436767577,0.0038981805432186096,0.001,10.0,,,"{'learning_rate': 0.001, 'max_depth': 10}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
27,0.2570457458496094,0.015059551451294128,0.0036234378814697264,0.003664586254032132,0.001,8.0,,,"{'learning_rate': 0.001, 'max_depth': 8}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
26,0.260650110244751,0.014281201915214346,0.0024071693420410155,0.0029437260735696953,0.001,6.0,,,"{'learning_rate': 0.001, 'max_depth': 6}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
16,0.2510411739349365,0.016289589977730508,0.003620147705078125,0.0036858680198771257,0.001,12.0,100.0,,"{'learning_rate': 0.001, 'max_depth': 12, 'n_estimators': 100}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
40,0.2076875686645508,0.012373293127748649,0.004012298583984375,0.004914045632073492,0.001,,,5.0,"{'learning_rate': 0.001, 'min_child_weight': 5}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
41,0.19564428329467773,0.009807433851092692,0.0028214454650878906,0.0027178860910185803,0.001,,,10.0,"{'learning_rate': 0.001, 'min_child_weight': 10}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
