,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
35,0,1833,2.2383507251739503,0.022639514470558075,0.03926362991333008,0.000826831061934673,0.01,,,3.0,"{'learning_rate': 0.01, 'min_child_weight': 3}",0.7021857923497268,0.7213114754098361,0.7240437158469946,0.6939890710382514,0.6830601092896175,0.7049180327868853,0.01574301671135295,47,0.8233287858117326,0.8390177353342428,0.8233287858117326,0.8458390177353342,0.8328785811732605,0.8328785811732606,0.0088097595039361
15,0,1833,16.38982286453247,0.1459016482432885,0.0802891731262207,0.0012932526342890273,0.001,10.0,500.0,,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 500}",0.7076502732240437,0.7049180327868853,0.7240437158469946,0.6912568306010929,0.6939890710382514,0.7043715846994536,0.011643320083422152,48,0.9045020463847203,0.9106412005457026,0.9154160982264665,0.91268758526603,0.903137789904502,0.9092769440654843,0.004725923076586297
17,0,1833,18.5711172580719,0.251978363913152,0.08675189018249511,0.005327172726832484,0.001,12.0,500.0,,"{'learning_rate': 0.001, 'max_depth': 12, 'n_estimators': 500}",0.7103825136612022,0.7131147540983607,0.73224043715847,0.6912568306010929,0.6721311475409836,0.7038251366120218,0.020489981704101306,49,0.9263301500682128,0.9236016371077762,0.927012278308322,0.9263301500682128,0.9140518417462483,0.9234652114597545,0.004850310732505097
13,0,1833,11.250475406646729,0.21710512113856623,0.06766157150268555,0.0033530876442469434,0.001,6.0,500.0,,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 500}",0.7240437158469946,0.7021857923497268,0.7185792349726776,0.6775956284153005,0.680327868852459,0.7005464480874317,0.01905529592804668,50,0.839699863574352,0.859481582537517,0.8465211459754434,0.8458390177353342,0.844474761255116,0.8472032742155525,0.006585276063381804
36,0,1833,2.227836322784424,0.04299991455846304,0.03450927734375,0.004654398628846232,0.01,,,5.0,"{'learning_rate': 0.01, 'min_child_weight': 5}",0.6939890710382514,0.7103825136612022,0.7049180327868853,0.6912568306010929,0.6885245901639344,0.6978142076502732,0.00839469480641379,51,0.7939972714870396,0.8083219645293315,0.7953615279672579,0.8090040927694406,0.7939972714870396,0.8001364256480219,0.006983074429505961
37,0,1833,2.216027545928955,0.06400574140323209,0.03745932579040527,0.003913861447450228,0.01,,,10.0,"{'learning_rate': 0.01, 'min_child_weight': 10}",0.6721311475409836,0.7049180327868853,0.6885245901639344,0.674863387978142,0.674863387978142,0.6830601092896176,0.012340535290312817,52,0.752387448840382,0.7544338335607094,0.7435197817189632,0.7469304229195088,0.7482946793997272,0.7491132332878582,0.0038923172217427233
28,0,1833,3.2941362380981447,0.04886225194498497,0.04053092002868652,0.0007956849368171787,0.001,10.0,,,"{'learning_rate': 0.001, 'max_depth': 10}",0.6939890710382514,0.680327868852459,0.6857923497267759,0.6912568306010929,0.6530054644808743,0.6808743169398908,0.014703414259096968,53,0.8649386084583902,0.8860845839017736,0.8697135061391542,0.8799454297407913,0.8533424283765347,0.8708049113233287,0.011467872132970016
14,0,1833,3.307746744155884,0.044384585732866855,0.03972940444946289,0.000810602894697779,0.001,10.0,100.0,,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 100}",0.6939890710382514,0.680327868852459,0.6857923497267759,0.6912568306010929,0.6530054644808743,0.6808743169398908,0.014703414259096968,53,0.8649386084583902,0.8860845839017736,0.8697135061391542,0.8799454297407913,0.8533424283765347,0.8708049113233287,0.011467872132970016
29,0,1833,3.828686237335205,0.062005305180390824,0.04230928421020508,0.0031431466153600015,0.001,12.0,,,"{'learning_rate': 0.001, 'max_depth': 12}",0.7021857923497268,0.6775956284153005,0.6775956284153005,0.6912568306010929,0.6475409836065574,0.6792349726775956,0.018336570202800547,55,0.8806275579809004,0.8935879945429741,0.8744884038199181,0.8901773533424284,0.8649386084583902,0.8807639836289223,0.01042027637322146
16,0,1833,3.7265369415283205,0.03150617585646354,0.04021730422973633,0.00021451406623778797,0.001,12.0,100.0,,"{'learning_rate': 0.001, 'max_depth': 12, 'n_estimators': 100}",0.7021857923497268,0.6775956284153005,0.6775956284153005,0.6912568306010929,0.6475409836065574,0.6792349726775956,0.018336570202800547,55,0.8806275579809004,0.8935879945429741,0.8744884038199181,0.8901773533424284,0.8649386084583902,0.8807639836289223,0.01042027637322146
38,0,1833,2.2912553787231444,0.04162646015961653,0.03662972450256348,0.0037056063455715577,0.001,,,2.0,"{'learning_rate': 0.001, 'min_child_weight': 2}",0.6557377049180327,0.6857923497267759,0.6967213114754098,0.6530054644808743,0.6830601092896175,0.674863387978142,0.017366391892973464,57,0.7899045020463847,0.7939972714870396,0.7803547066848567,0.7892223738062756,0.7701227830832197,0.7847203274215553,0.008548131076573276
27,0,1833,2.7885741233825683,0.018552962570341707,0.03812751770019531,0.0031119383012334673,0.001,8.0,,,"{'learning_rate': 0.001, 'max_depth': 8}",0.6857923497267759,0.6721311475409836,0.6857923497267759,0.6502732240437158,0.6639344262295082,0.6715846994535519,0.013540449938102602,58,0.8458390177353342,0.8724420190995907,0.845156889495225,0.849931787175989,0.834924965893588,0.8496589358799455,0.012418481361773844
12,0,1833,2.2650350093841554,0.01954018033174892,0.03494348526000977,0.004337452640935664,0.001,6.0,100.0,,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 100}",0.6912568306010929,0.6666666666666666,0.6693989071038251,0.644808743169399,0.6502732240437158,0.6644808743169398,0.016338706434673275,59,0.8117326057298773,0.8212824010914052,0.8028649386084584,0.8090040927694406,0.8028649386084584,0.8095497953615279,0.006813091944984304
26,0,1833,2.2507846355438232,0.07907046166032422,0.03814101219177246,0.003978693639398403,0.001,6.0,,,"{'learning_rate': 0.001, 'max_depth': 6}",0.6912568306010929,0.6666666666666666,0.6693989071038251,0.644808743169399,0.6502732240437158,0.6644808743169398,0.016338706434673275,59,0.8117326057298773,0.8212824010914052,0.8028649386084584,0.8090040927694406,0.8028649386084584,0.8095497953615279,0.006813091944984304
40,0,1833,2.2078341960906984,0.03155013321824635,0.037963151931762695,0.005778787574591468,0.001,,,5.0,"{'learning_rate': 0.001, 'min_child_weight': 5}",0.644808743169399,0.6639344262295082,0.6967213114754098,0.6612021857923497,0.6420765027322405,0.6617486338797816,0.019504446226857628,61,0.7503410641200545,0.747612551159618,0.7366984993178718,0.727830832196453,0.718281036834925,0.7361527967257845,0.0120132059824018
39,0,1833,2.240043306350708,0.04223067080601885,0.03865008354187012,0.0035739445934131536,0.001,,,3.0,"{'learning_rate': 0.001, 'min_child_weight': 3}",0.639344262295082,0.6912568306010929,0.674863387978142,0.6612021857923497,0.6420765027322405,0.6617486338797816,0.019656946173338716,61,0.7762619372442019,0.7694406548431105,0.7612551159618008,0.7633015006821282,0.7544338335607094,0.7649386084583901,0.007417340910814846
41,0,1833,2.234955406188965,0.049910853530799354,0.04031448364257813,0.011736078956538751,0.001,,,10.0,"{'learning_rate': 0.001, 'min_child_weight': 10}",0.6229508196721312,0.6584699453551912,0.6557377049180327,0.6338797814207651,0.6229508196721312,0.6387978142076504,0.01549447746312327,63,0.699181446111869,0.7019099590723056,0.6814461118690314,0.6841746248294679,0.67462482946794,0.6882673942701227,0.010532201400064818
